;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;display;cocoa;cue0FileName;breakMessage
0;black;blue;hori;6;blackbluehori.png;blackbluehori6.png;trial;0;blackbluehori.png;
1;black;red;hori;4;blackredhori.png;blackredhori4.png;trial;0;blackredhori.png;
2;black;red;vert;3;blackredvert.png;blackredvert3.png;trial;0;blackredvert.png;
3;black;red;hori;6;blackredhori.png;blackredhori6.png;trial;0;blackredhori.png;
4;black;red;vert;9;blackredvert.png;blackredvert9.png;trial;0;blackredvert.png;
5;black;blue;vert;6;blackbluevert.png;blackbluevert6.png;trial;0;blackbluevert.png;
6;black;red;vert;3;blackredvert.png;blackredvert3.png;trial;0;blackredvert.png;
7;black;red;vert;1;blackredvert.png;blackredvert1.png;trial;0;blackredvert.png;
8;black;red;hori;2;blackredhori.png;blackredhori2.png;trial;0;blackredhori.png;
9;black;red;vert;3;blackredvert.png;blackredvert3.png;trial;0;blackredvert.png;
10;black;blue;hori;4;blackbluehori.png;blackbluehori4.png;trial;0;blackbluehori.png;
11;black;red;hori;8;blackredhori.png;blackredhori8.png;trial;0;blackredhori.png;
12;black;red;vert;4;blackredvert.png;blackredvert4.png;trial;0;blackredvert.png;
13;black;blue;hori;9;blackbluehori.png;blackbluehori9.png;trial;0;blackbluehori.png;
14;black;blue;vert;3;blackbluevert.png;blackbluevert3.png;trial;0;blackbluevert.png;
15;black;red;vert;2;blackredvert.png;blackredvert2.png;trial;0;blackredvert.png;
16;black;blue;hori;9;blackbluehori.png;blackbluehori9.png;trial;0;blackbluehori.png;
17;black;red;vert;1;blackredvert.png;blackredvert1.png;trial;0;blackredvert.png;
18;black;red;vert;9;blackredvert.png;blackredvert9.png;trial;0;blackredvert.png;
19;black;blue;vert;7;blackbluevert.png;blackbluevert7.png;trial;0;blackbluevert.png;
