"";"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"task_R";"ANSWER_R";"cuecolor_R";"error_R"
"47003";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;6;756,979999998352;"L";1;0;NA;"L";"red";"black";"parity";2;300;1;1;1;0
"47007";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;7;1105,53499999526;"A";1;0;NA;"A";"red";"black";"magnit";6;300;1;1;0;0
"47011";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;8;814,715000000317;"L";1;0;NA;"L";"red";"black";"magnit";4;300;0;1;0;0
"47015";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;9;649,454999998678;"A";1;0;NA;"A";"red";"black";"parity";9;300;1;1;0;0
"47019";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;10;1074,51500000036;"L";1;0;NA;"L";"blue";"black";"magnit";1;300;1;1;1;0
"47023";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;11;988,880000004545;"A";1;0;NA;"A";"blue";"black";"magnit";6;300;0;1;0;0
"47027";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;12;939,924999998882;"L";1;0;NA;"L";"red";"black";"parity";8;300;1;1;1;0
"47031";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;13;1064,08999999985;"A";1;0;NA;"A";"red";"black";"magnit";7;300;1;1;0;0
"47035";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;14;839,800000001444;"A";1;0;NA;"A";"blue";"black";"magnit";9;300;0;0;1;0
"47039";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;15;671,095000005094;"L";1;0;NA;"L";"red";"black";"parity";6;300;1;1;1;0
"47043";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;16;734,299999996321;"A";1;0;NA;"A";"red";"black";"parity";3;300;0;1;0;0
"47047";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;17;1048,66500000213;"L";1;0;NA;"L";"red";"black";"magnit";2;300;1;1;0;0
"47051";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;18;1180,82500000298;"L";1;0;NA;"L";"blue";"black";"magnit";3;300;0;0;1;0
"47055";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;19;822,57000000379;"A";1;0;NA;"A";"red";"black";"parity";1;300;1;1;1;0
"47059";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;20;807,455000001937;"A";1;0;NA;"A";"blue";"black";"parity";3;300;0;0;1;0
"47063";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;21;645,774999997113;"A";1;0;NA;"A";"red";"black";"parity";1;300;0;0;1;0
"47067";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;22;828,31000000448;"L";1;0;NA;"L";"blue";"black";"parity";4;300;0;1;1;0
"47071";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;23;841,464999997756;"A";1;0;NA;"A";"red";"black";"magnit";9;300;1;1;1;0
"47075";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;24;1336,83000000007;"A";1;0;NA;"A";"red";"black";"parity";1;300;1;0;0;0
"47079";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;25;1280,02500000014;"A";1;0;NA;"A";"red";"black";"magnit";8;300;1;0;0;0
"47083";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;26;888,874999996973;"L";1;0;NA;"L";"red";"black";"parity";2;300;1;1;0;0
"47087";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;27;852,655000002356;"A";1;0;NA;"A";"blue";"black";"magnit";9;300;1;1;1;0
"47091";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;28;1348,85499999649;"L";1;0;NA;"L";"red";"black";"magnit";1;300;0;1;1;0
"47095";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;29;742,920000004116;"L";1;0;NA;"L";"red";"black";"parity";4;300;1;0;0;0
"47099";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;30;898,255000000121;"L";1;0;NA;"L";"red";"black";"magnit";1;300;1;0;0;0
"47103";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;31;649,64499999769;"A";1;0;NA;"A";"blue";"black";"magnit";6;300;0;1;1;0
"47107";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;32;601,440000005765;"L";1;0;NA;"L";"blue";"black";"parity";2;300;1;1;0;0
"47111";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;33;908,340000001946;"A";1;0;NA;"A";"red";"black";"parity";9;300;0;1;1;0
"47115";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;34;608,824999995762;"A";1;0;NA;"A";"red";"black";"magnit";8;300;1;0;0;0
"47119";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;35;830,505000005243;"L";1;0;NA;"L";"red";"black";"magnit";4;300;0;1;0;0
"47123";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;36;582,450000001816;"L";1;0;NA;"L";"blue";"black";"parity";8;300;1;0;1;0
"47127";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;37;571,41499999864;"L";1;0;NA;"L";"red";"black";"parity";4;300;0;0;1;0
"47131";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;38;615,700000002282;"L";1;0;NA;"L";"blue";"black";"parity";6;300;0;0;1;0
"47135";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;39;776,070000000065;"A";1;0;NA;"A";"red";"black";"parity";3;300;0;1;1;0
"47139";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;40;672,019999998156;"A";1;0;NA;"A";"red";"black";"magnit";6;300;1;0;0;0
"47143";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;41;904,405000001192;"L";1;0;NA;"L";"blue";"black";"magnit";2;300;0;1;1;0
"47147";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;42;731,169999998994;"A";1;0;NA;"A";"red";"black";"magnit";6;300;0;1;1;0
"47151";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;43;572,060000005877;"A";1;0;NA;"A";"red";"black";"parity";7;300;1;0;0;0
"47155";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;44;514,86999999918;"L";1;0;NA;"L";"blue";"black";"parity";2;300;0;1;1;0
"47159";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;45;559,199999995995;"L";1;0;NA;"L";"blue";"black";"magnit";3;300;1;0;0;0
"47163";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;46;832,599999994272;"A";1;0;NA;"A";"red";"black";"magnit";8;300;0;1;1;0
"47167";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;47;632,925000005402;"L";1;0;NA;"L";"red";"black";"parity";2;300;1;1;0;0
"47171";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;48;629,759999996284;"A";1;0;NA;"A";"blue";"black";"parity";9;300;0;1;1;0
"47175";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;49;1319,38499999535;"L";1;0;NA;"L";"red";"black";"parity";6;300;0;1;1;0
"47179";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;50;691,249999996042;"A";1;0;NA;"A";"blue";"black";"parity";7;300;0;1;1;0
"47183";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;51;537,354999993229;"L";1;0;NA;"L";"red";"black";"magnit";2;300;1;1;1;0
"47187";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;52;602,520000000484;"L";1;0;NA;"L";"red";"black";"parity";8;300;1;0;0;0
"47191";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;53;590,825000006706;"A";1;0;NA;"A";"blue";"black";"magnit";9;300;1;1;1;0
"47195";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;54;652,320000000997;"A";1;0;NA;"A";"red";"black";"magnit";7;300;0;0;1;0
"47199";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;55;710,570000003092;"L";1;0;NA;"L";"red";"black";"parity";4;300;1;1;0;0
"47203";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;56;733,645000000251;"A";1;0;NA;"A";"blue";"black";"parity";1;300;0;1;1;0
"47207";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;57;763,709999999264;"A";1;1;NA;"L";"blue";"black";"magnit";3;300;1;1;0;0
"47211";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;58;943,975000001956;"L";1;0;NA;"L";"blue";"black";"magnit";4;300;0;0;0;1
