Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Question Key;Response
5;1591193808742;03/06/2020 14:16:48;1591193809856;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;response-2;right-handed
6;1591193808742;03/06/2020 14:16:48;1591193809856;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;response-2-quantised;1
7;1591193808742;03/06/2020 14:16:48;1591193809856;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;response-2-text;
8;1591193808742;03/06/2020 14:16:48;1591193809856;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;response-3;Dutch
9;1591193808742;03/06/2020 14:16:48;1591193809857;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;country;The Netherlands
10;1591193808742;03/06/2020 14:16:48;1591193809857;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;education;Bachelor degree
11;1591193808742;03/06/2020 14:16:48;1591193809857;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;education-quantised;5
12;1591193808742;03/06/2020 14:16:48;1591193809857;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;psyKnowledge;Not at all
13;1591193808742;03/06/2020 14:16:48;1591193809858;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;psyKnowledge-quantised;1
14;1591193808742;03/06/2020 14:16:48;1591193809858;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;comment;
