Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;counterbalance-7ip1;counterbalance-a7a6;Question Key;Response
9;1593767265980;03/07/2020 09:07:45;1593767264259;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;country;United Kingdom
10;1593767265980;03/07/2020 09:07:45;1593767264259;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;education;Some university/higher education but no degree
11;1593767265980;03/07/2020 09:07:45;1593767264259;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;education-quantised;4
12;1593767265980;03/07/2020 09:07:45;1593767264259;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;psyKnowledge;Some knowledge as amateur
13;1593767265980;03/07/2020 09:07:45;1593767264259;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;psyKnowledge-quantised;2
14;1593767265980;03/07/2020 09:07:45;1593767264259;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;comment;
15;1593767265980;03/07/2020 09:07:45;1593767264259;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;response-3;English
1;1593767751073;03/07/2020 09:15:51;1593767748737;3;03/07/2020 12:15:48;18619;3;questionnaire-b579;;5882166;5b9d25ec7b196f0001957d21;1655977;;complete;;5efeede342adfe01c488abdd;computer;Desktop or Laptop;Mac OS 10.14.6;Chrome 83.0.4103.116;1920x1080;1920x896;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;BEGIN QUESTIONNAIRE;
2;1593767771967;03/07/2020 09:16:11;1593767769706;3;03/07/2020 12:16:09;18619;3;questionnaire-b579;;5882166;5b9d25ec7b196f0001957d21;1655977;;complete;;5efeede342adfe01c488abdd;computer;Desktop or Laptop;Mac OS 10.14.6;Chrome 83.0.4103.116;1920x1080;1920x896;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;sex;male
3;1593767772279;03/07/2020 09:16:12;1593767769707;3;03/07/2020 12:16:09;18619;3;questionnaire-b579;;5882166;5b9d25ec7b196f0001957d21;1655977;;complete;;5efeede342adfe01c488abdd;computer;Desktop or Laptop;Mac OS 10.14.6;Chrome 83.0.4103.116;1920x1080;1920x896;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;sex-quantised;1
