"pp";"task_R";"correctResp_R";"context_R";"cocoa";"age";"sex";"version";"meanrt";"n";"se"
"27";"0";"1";"0";"300";22;"f";"lab";522,797032638832;54;23,726000749802
"27";"0";"1";"1";"0";22;"f";"lab";688,546951427016;43;46,178855525214
"27";"0";"1";"1";"300";22;"f";"lab";543,244224124484;45;28,47496122204
"27";"1";"0";"0";"0";22;"f";"lab";719,029496113459;48;46,0560358708456
"27";"1";"0";"0";"300";22;"f";"lab";618,580589107439;51;31,4704021506288
"27";"1";"0";"1";"0";22;"f";"lab";675,651518803723;53;40,5349655071327
"27";"1";"0";"1";"300";22;"f";"lab";642,581822737208;53;36,5850067957212
"27";"1";"1";"0";"0";22;"f";"lab";765,413820743561;36;60,3435979704867
"27";"1";"1";"0";"300";22;"f";"lab";542,617613928659;35;34,8091295609997
"27";"1";"1";"1";"0";22;"f";"lab";654,714447480661;54;39,1061113783052
"27";"1";"1";"1";"300";22;"f";"lab";711,734552383423;50;52,0360208166746
"28";"0";"0";"0";"0";23;"f";"lab";620,377742327177;26;49,4444850350596
"28";"0";"0";"0";"300";23;"f";"lab";732,011592388153;40;46,9060993805296
"28";"0";"0";"1";"0";23;"f";"lab";720,389005116054;35;54,2852350675837
"28";"0";"0";"1";"300";23;"f";"lab";829,113569259643;25;65,7644424646701
"28";"0";"1";"0";"0";23;"f";"lab";755,288787790247;37;70,7494952562839
"28";"0";"1";"0";"300";23;"f";"lab";754,947958765803;37;62,8772265857664
"28";"0";"1";"1";"0";23;"f";"lab";674,78439284534;41;51,5276456577187
"28";"0";"1";"1";"300";23;"f";"lab";836,580365896225;40;74,6052388834779
"28";"1";"0";"0";"0";23;"f";"lab";774,425310966296;39;58,7828913162917
"28";"1";"0";"0";"300";23;"f";"lab";858,621552183822;37;72,1425120236971
"28";"1";"0";"1";"0";23;"f";"lab";788,909929139274;56;49,4869259407743
"28";"1";"0";"1";"300";23;"f";"lab";907,559615373611;40;68,0288224786531
"28";"1";"1";"0";"0";23;"f";"lab";745,705138553273;22;83,9724061941167
"28";"1";"1";"0";"300";23;"f";"lab";869,695016316005;35;75,0680936976088
"28";"1";"1";"1";"0";23;"f";"lab";792,179714549671;44;61,924348345137
