Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-tucj;checkpoint-7y1f;Question Key;Response
1;1590511798378;26/05/2020 16:49:58;1590511797477;2;26/05/2020 18:49:57;17308;16;questionnaire-89vf;;5145995;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1280x610;after demographic;demographic;4;BRAC1_horiAA_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590511969212;26/05/2020 16:52:49;1590511967883;2;26/05/2020 18:52:47;17308;16;questionnaire-89vf;;5145995;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;demographic;4;BRAC1_horiAA_1st300;after consent;after task;after demographic;sex;female
3;1590511969321;26/05/2020 16:52:49;1590511967888;2;26/05/2020 18:52:47;17308;16;questionnaire-89vf;;5145995;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;demographic;4;BRAC1_horiAA_1st300;after consent;after task;after demographic;sex-quantised;2
4;1590511969321;26/05/2020 16:52:49;1590511967889;2;26/05/2020 18:52:47;17308;16;questionnaire-89vf;;5145995;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;demographic;4;BRAC1_horiAA_1st300;after consent;after task;after demographic;age;21
5;1590511969321;26/05/2020 16:52:49;1590511967889;2;26/05/2020 18:52:47;17308;16;questionnaire-89vf;;5145995;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;demographic;4;BRAC1_horiAA_1st300;after consent;after task;after demographic;response-2;right-handed
6;1590511969321;26/05/2020 16:52:49;1590511967890;2;26/05/2020 18:52:47;17308;16;questionnaire-89vf;;5145995;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;demographic;4;BRAC1_horiAA_1st300;after consent;after task;after demographic;response-2-quantised;1
7;1590511969321;26/05/2020 16:52:49;1590511967890;2;26/05/2020 18:52:47;17308;16;questionnaire-89vf;;5145995;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;demographic;4;BRAC1_horiAA_1st300;after consent;after task;after demographic;response-2-text;
8;1590511969321;26/05/2020 16:52:49;1590511967891;2;26/05/2020 18:52:47;17308;16;questionnaire-89vf;;5145995;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;demographic;4;BRAC1_horiAA_1st300;after consent;after task;after demographic;response-3;German
9;1590511969321;26/05/2020 16:52:49;1590511967892;2;26/05/2020 18:52:47;17308;16;questionnaire-89vf;;5145995;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;demographic;4;BRAC1_horiAA_1st300;after consent;after task;after demographic;country;Germany
10;1590511969321;26/05/2020 16:52:49;1590511967893;2;26/05/2020 18:52:47;17308;16;questionnaire-89vf;;5145995;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;demographic;4;BRAC1_horiAA_1st300;after consent;after task;after demographic;education;High school diploma
11;1590511969321;26/05/2020 16:52:49;1590511967894;2;26/05/2020 18:52:47;17308;16;questionnaire-89vf;;5145995;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;demographic;4;BRAC1_horiAA_1st300;after consent;after task;after demographic;education-quantised;3
