"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"Participant.OS";"Participant.Browser";"ppViewportSize";"task_R";"ANSWER_R";"framecolor_R";"error_R";"age";"sex";"psyKnowledge";"education";"handedness";"motherTongue";"country"
"PJ6";"BRAC2_vertAA_1st300";0;46;548,685000001569;"A";1;1;NA;"L";"black";"blue";"parity";8;300;"MacOs";"Chrome";"1440x697";1;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;47;1178,66499999934;"A";1;0;NA;"A";"black";"blue";"magnit";7;300;"MacOs";"Chrome";"1440x697";1;1;0;1;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;48;572,040000006324;"L";1;0;NA;"L";"black";"blue";"parity";2;300;"MacOs";"Chrome";"1440x697";1;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;49;1085,11500000162;"A";1;0;NA;"A";"black";"red";"magnit";8;300;"MacOs";"Chrome";"1440x697";1;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;50;413,825000003213;"L";1;0;NA;"L";"black";"red";"parity";4;300;"MacOs";"Chrome";"1440x697";1;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;51;442,369999997085;"L";1;0;NA;"L";"black";"red";"parity";8;300;"MacOs";"Chrome";"1440x697";0;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;52;485,619999999413;"L";1;0;NA;"L";"black";"red";"parity";6;300;"MacOs";"Chrome";"1440x697";0;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;53;582,670000003418;"A";1;0;NA;"A";"black";"blue";"parity";9;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;54;641,944999995758;"L";1;0;NA;"L";"black";"blue";"parity";6;300;"MacOs";"Chrome";"1440x697";0;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;55;543,960000002757;"L";1;1;NA;"A";"black";"blue";"parity";1;300;"MacOs";"Chrome";"1440x697";0;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;56;744,635000002803;"L";1;0;NA;"L";"black";"blue";"parity";4;300;"MacOs";"Chrome";"1440x697";0;1;0;1;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;57;870,545000005281;"L";1;0;NA;"L";"black";"red";"magnit";2;300;"MacOs";"Chrome";"1440x697";1;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
